state	action
3	1
4	0
5	1
6	1
7	0
10	1
11	1
12	-1
13	-1
14	-1
15	-1
17	1
18	1
19	-1
20	0
21	1
22	-1
23	1
25	-1
26	0
27	1
28	-1
29	0
30	-1
31	1
33	-1
34	1
35	0
36	0
37	0
38	0
39	0
41	0
42	1
43	1
44	1
45	1
46	0
47	0
49	1
50	0
51	-1
52	1
53	-1
54	1
55	0
57	-1
58	-1
59	0
60	-1
61	-1
62	0
63	1
65	0
66	1
67	1
68	1
69	0
70	0
71	0
73	-1
74	0
75	0
76	-1
77	1
78	-1
79	-1
81	-1
82	1
83	1
84	1
85	-1
86	1
87	0
89	0
90	-1
91	0
92	1
93	0
94	-1
95	0
97	-1
98	1
99	1
100	-1
101	0
102	1
103	1
105	1
106	0
107	-1
108	1
109	0
110	-1
111	-1
113	0
114	1
115	0
116	0
117	1
118	1
121	0
122	0
123	0
124	-1
125	-1
126	0
128	0
131	0
132	0
133	-1
134	-1
135	-1
136	-1
138	0
139	-1
140	-1
141	0
142	0
143	1
144	0
145	1
146	1
147	0
148	0
149	0
150	0
151	0
152	1
153	1
154	-1
155	0
156	0
157	-1
158	-1
159	-1
160	-1
161	-1
162	1
163	-1
164	0
165	1
166	1
167	-1
168	-1
169	1
170	-1
171	0
172	0
173	1
174	-1
175	0
176	0
177	-1
178	1
179	0
180	1
181	0
182	1
183	1
184	1
185	1
186	0
187	-1
188	-1
189	1
190	-1
191	1
192	0
193	-1
194	0
195	-1
196	-1
197	0
198	1
199	1
200	0
201	1
202	0
203	-1
204	-1
205	-1
206	1
207	0
208	-1
209	-1
210	1
211	-1
212	1
213	1
214	0
215	0
216	0
217	0
218	0
219	-1
220	0
221	1
222	-1
223	-1
224	1
225	0
226	1
227	-1
228	1
229	-1
230	0
231	0
232	1
233	-1
234	0
235	1
236	0
237	0
239	-1
240	1
241	-1
242	1
243	1
244	0
245	-1
246	1
248	-1
249	1
250	1
251	0
252	1
253	0
256	0
257	1
259	0
260	1
261	1
262	-1
263	0
264	1
266	0
267	-1
268	0
269	1
270	1
271	1
272	0
273	-1
274	-1
275	1
276	0
277	0
278	1
279	1
280	-1
281	1
282	0
283	0
284	1
285	0
286	0
287	0
288	1
289	-1
290	-1
291	1
292	-1
293	1
294	-1
295	1
296	0
297	-1
298	-1
299	-1
300	0
301	-1
302	1
303	1
304	0
305	0
306	-1
307	-1
308	-1
309	-1
310	1
311	-1
312	0
313	-1
314	1
315	-1
316	0
317	1
318	0
319	0
320	1
321	1
322	1
323	-1
324	1
325	0
326	1
327	1
328	0
329	1
330	1
331	0
332	0
333	1
334	1
335	-1
336	-1
337	-1
338	-1
339	-1
340	-1
341	0
342	0
343	0
344	0
345	1
346	-1
347	1
348	1
349	1
350	1
351	-1
352	1
353	-1
354	0
355	1
356	1
357	-1
358	-1
359	1
360	0
361	1
362	-1
363	-1
364	-1
365	-1
366	-1
367	1
368	-1
369	-1
370	1
371	1
372	1
373	-1
374	0
375	0
376	-1
377	1
378	0
379	1
380	0
381	-1
383	0
384	0
385	0
387	0
388	-1
389	-1
390	1
391	1
392	0
393	-1
394	0
395	0
396	0
397	-1
398	-1
399	0
400	0
401	-1
402	1
403	0
404	-1
405	1
406	1
407	1
408	1
409	1
410	1
411	-1
412	1
413	1
414	0
415	1
416	1
417	1
418	1
419	0
420	1
421	0
422	-1
423	-1
424	-1
425	-1
426	-1
427	0
428	0
429	-1
430	-1
431	-1
432	1
433	-1
434	0
435	-1
436	1
437	0
438	1
439	-1
440	-1
441	-1
442	0
443	-1
444	-1
445	-1
446	1
447	-1
448	-1
449	0
450	-1
451	0
452	1
453	1
454	0
455	0
456	1
457	-1
458	1
459	-1
460	0
461	-1
462	-1
463	1
464	1
465	0
466	-1
467	-1
468	1
469	0
470	1
471	0
472	1
473	-1
474	0
475	0
476	0
477	0
478	-1
479	1
480	-1
481	-1
482	-1
483	0
484	0
485	-1
486	1
487	0
488	-1
489	-1
490	0
491	1
492	0
493	1
494	-1
495	0
496	1
497	1
498	1
499	1
500	0
501	-1
502	0
503	0
504	0
505	0
506	-1
507	0
508	1
509	-1
511	0
512	0
513	-1
515	0
516	1
517	1
518	1
519	1
520	0
521	-1
522	-1
523	1
524	-1
525	1
526	0
527	1
528	-1
529	0
530	0
531	-1
532	0
533	0
534	0
535	0
536	-1
537	-1
538	0
539	0
540	1
541	1
542	0
543	0
544	0
545	1
546	0
547	1
548	0
549	0
550	-1
551	0
552	-1
553	1
554	-1
555	-1
556	0
557	1
558	1
559	0
560	0
561	-1
562	0
563	0
564	0
565	0
566	-1
567	1
568	-1
569	-1
570	0
571	1
572	-1
573	-1
574	1
575	-1
576	0
577	1
578	1
579	0
580	1
581	-1
582	-1
583	-1
584	-1
585	0
586	0
587	1
588	-1
589	0
590	-1
591	1
592	-1
593	1
594	-1
595	1
596	1
597	1
598	0
599	1
600	-1
601	1
602	1
603	0
604	0
605	1
606	-1
607	-1
608	0
609	-1
610	1
611	1
612	0
613	-1
614	1
615	-1
616	0
617	0
618	1
619	-1
620	1
621	0
622	1
623	1
624	1
625	0
626	0
627	1
628	-1
629	-1
630	0
631	1
632	1
633	1
634	-1
635	-1
636	-1
637	1
639	0
640	-1
641	1
643	0
644	1
645	0
646	-1
647	1
648	-1
649	-1
650	1
651	0
652	0
653	-1
654	1
655	0
656	0
657	0
658	1
659	1
660	0
661	-1
662	1
663	0
664	1
665	0
666	-1
667	0
668	-1
